"",""
"Action","Action"
"Add Article","Add Article"
"Add Category","Add Category"
"Allow access to registered customers only","Allow access to registered customers only"
"Are you sure?","Are you sure?"
"Article","Article"
"Article does not exist","Article does not exist"
"Article Information","Article Information"
"Article Manager","Article Manager"
"Articles","Articles"
"Articles by tag","Articles by tag"
"Articles by tag "%s"","Articles by tag "%s""
"Article "%s" does not exist","Article "%s" does not exist"
"Articles Manager","Articles Manager"
"Articles of "%s"","Articles of "%s""
"Articles per page","Articles per page"
"Article URL Suffix","Article URL Suffix"
"Article was successfully deleted","Article was successfully deleted"
"Article was successfully saved","Article was successfully saved"
"Ascending","Ascending"
"Attachment:","Attachment:"
"Attachment","Attachment"
"Author","Author"
"Auto size","Auto size"
"By","By"
"Cache URL rewrites","Cache URL rewrites"
"Categories","Categories"
"Category Block Options","Category Block Options"
"Category:","Category:"
"Category does not exist","Category does not exist"
"Category Information","Category Information"
"Category Manager","Category Manager"
"Category "%s" does not exist","Category "%s" does not exist"
"Category was successfully deleted","Category was successfully deleted"
"Category was successfully saved","Category was successfully saved"
"Change status","Change status"
"Created at","Created at"
"CSV","CSV"
"Date","Date"
"Delete Article","Delete Article"
"Delete Category","Delete Category"
"Delete","Delete"
"Delete file","Delete file"
"Descending","Descending"
"Description length (chars)","Description length (chars)"
"Disabled","Disabled"
"Download","Download"
"Edit Article \'%s\'","Edit Article \'%s\'"
"Edit Category \'%s\'","Edit Category \'%s\'"
"Edit","Edit"
"Enable articles rating","Enable articles rating"
"Enabled","Enabled"
"Enable frontend","Enable frontend"
"For listings; Separate values by commas","For listings; Separate values by commas"
"From 1 to 5","From 1 to 5"
"Full","Full"
"General","General"
"General information","General information"
"General Settings","General Settings"
"Go to Home Page","Go to Home Page"
"Go to Knowledge Base Home Page","Go to Knowledge Base Home Page"
"Go to %s homepage","Go to %s homepage"
"Home","Home"
"If enabled, frontend is available under <i>/URL_key/</i><br />If disabled, direct article links are available only","If enabled, frontend is available under <i>/URL_key/</i><br />If disabled, direct article links are available only"
"KB Article","KB Article"
"Knowledge Base","Knowledge Base"
"Latest Articles Block Options","Latest Articles Block Options"
"Listing type","Listing type"
"Max tag count in the tags block","Max tag count in the tags block"
"No articles found","No articles found"
"No article specified","No article specified"
"No category","No category"
"No category specified","No category specified"
"No negative values allowed","No negative values allowed"
"No tag specified","No tag specified"
"Number of articles to show","Number of articles to show"
"Number of voices","Number of voices"
"Only registered customers may visit %s section. Please log in or register","Only registered customers may visit %s section. Please log in or register"
"Order","Order"
"Please select article(s)","Please select article(s)"
"Please select category(s)","Please select category(s)"
"Please select item(s)","Please select item(s)"
"Rate this article:","Rate this article:"
"Rating:","Rating:"
"Rating","Rating"
"Rating should be between 1 and 5","Rating should be between 1 and 5"
""%s" article",""%s" article"
"Save And Continue Edit","Save And Continue Edit"
"Save Article","Save Article"
"Save Category","Save Category"
"Search Block Options","Search Block Options"
"Search Knowledge Base","Search Knowledge Base"
"Search results for "%s"","Search results for "%s""
"Search results","Search results"
"Search","Search"
"Separate tags with commas","Separate tags with commas"
"Short","Short"
"Sort by","Sort by"
"Sort %s direction","Sort %s direction"
"Status","Status"
"Store View","Store View"
"Tags Block Options","Tags Block Options"
"Tags:","Tags:"
"Tags","Tags"
"The article is temporarily disabled","The article is temporarily disabled"
"Title","Title"
"Top Articles Block Options","Top Articles Block Options"
"Total of %d article(s) were successfully deleted","Total of %d article(s) were successfully deleted"
"Total of %d article(s) were successfully updated","Total of %d article(s) were successfully updated"
"Total of %d category(s) were successfully deleted","Total of %d category(s) were successfully deleted"
"Total of %d category(s) were successfully updated","Total of %d category(s) were successfully updated"
"Unable to find an article to save","Unable to find an article to save"
"Unable to find an category to save","Unable to find an category to save"
"Unable to vote. Please, try again later","Unable to vote. Please, try again later"
"Updated at","Updated at"
"URL key is not unique within category store views","URL key is not unique within category store views"
"URL key must be unique within store views","URL key must be unique within store views"
"URL key to access Knowledge Base section of the website","URL key to access Knowledge Base section of the website"
"URL key","URL key"
"URL Rewrite","URL Rewrite"
"Used to address the category from URL. If left empty, will be converted from category title during saving. URL key must be unique within selected store views.","Used to address the category from URL. If left empty, will be converted from category title during saving. URL key must be unique within selected store views."
"Votes","Votes"
"Vote","Vote"
"When disabled, Top Articles section is not available","When disabled, Top Articles section is not available"
"Wrong rating","Wrong rating"
"XML","XML"
"You have already voted on this article!","You have already voted on this article!"
"You may vote only %s times per day!","You may vote only %s times per day!"
"Your voice has been accepted. Thank you!","Your voice has been accepted. Thank you!"
"Add new article","Add new article"
"Add new category","Add new category"
"Edit category #%d","Edit category #%d"
"Edit article #%d","Edit article #%d"

