"Praxigento: JIRA Feedback Section","Praxigento: JIRA Feedback Section"
"General","General"
"Enable Frontend Feedback","Enable Frontend Feedback"
"Display JIRA feedback component on the frontend.","Display JIRA feedback component on the frontend."
"Frontend Source Code","Frontend Source Code"
"HTML source code for JIRA Issue Collector on the frontend.","HTML source code for JIRA Issue Collector on the frontend."
"Enable Admin Feedback","Enable Admin Feedback"
"Display JIRA feedback component on the admin panel.","Display JIRA feedback component on the admin panel."
"Admin Source Code","Admin Source Code"
"HTML source code for JIRA Issue Collector on the admin panel.","HTML source code for JIRA Issue Collector on the admin panel."
